"Longitude"	"Latitude"	"Date"	"Nkill"
"1"	37.0556267928755	36.5763032805163	"2012-10-27"	0
"2"	62.8737389935037	35.076756725772	"2010-06-20"	4
"3"	63.8268330300177	35.7428591783608	"2012-06-16"	1
"4"	33.9733168421994	31.1568747608141	"2013-08-25"	0
"5"	5.74575115774193	36.8004367953752	"2004-01-31"	2
"6"	36.4231665191344	34.1698590010483	"2013-08-10"	0
"7"	67.9567832194487	32.9832630100234	"2007-09-09"	0
"8"	67.970341015424	32.9858419261912	"2008-10-20"	1
"9"	67.9578684075814	32.9789463828217	"2010-07-29"	6
"10"	67.9593087290492	32.9925448010528	"2011-08-24"	0
"11"	68.1879653959742	32.9879114223128	"2013-05-01"	6
"12"	30.2408983954687	3.85872230622061	"2009-06-10"	9
"13"	71.6019986055183	33.9558571141505	"2011-08-05"	0
"14"	47.4700123125367	7.07199479655635	"2012-06-04"	4
"15"	13.2736229353311	13.6148961970216	"2013-08-04"	17
"16"	6.93779073337638	8.4722903412292	"2013-06-15"	0
"17"	41.0507304935751	33.4439576184829	"2012-10-06"	1
"18"	45.1340991851576	33.8846009553328	"2013-07-13"	4
"19"	44.7636608036542	33.8218925848393	"2013-12-10"	7
"20"	44.7663258082634	33.8296669857506	"2013-12-10"	6
"21"	67.7762448143367	33.0967351354108	"2012-02-12"	8
"22"	44.6572894395242	33.8144181927929	"2011-07-14"	0
"23"	44.6631239378505	33.8075336911094	"2011-10-15"	1
"24"	44.6658233266284	33.8232496369428	"2011-11-20"	0
"25"	-4.43343251201981	55.8677299967296	"2007-06-30"	1
"26"	68.5535411126102	36.6402613144108	"2009-07-10"	1
"27"	70.6823603438791	34.0796736697579	"2013-06-18"	0
"28"	70.6834717898043	34.0965350591909	"2013-06-18"	0
"29"	70.6743656252762	34.0831902979925	"2013-06-18"	0
"30"	70.682690560638	34.0873346579919	"2013-06-18"	0
"31"	70.689978678098	34.0958694113331	"2013-06-18"	0
"32"	70.6795261540655	34.0827417918486	"2013-06-18"	0
"33"	68.3927823246405	33.2895585202436	"2013-09-04"	3
"34"	20.8294326396592	13.8381877182838	"2010-06-06"	0
"35"	1.74754104371648	19.1135805509659	"2008-03-20"	0
"36"	-3.49539815437659	6.72276739744263	"2012-08-05"	0
"37"	140.70784667343	-2.65937698559941	"2011-07-31"	4
"38"	140.697723217268	-2.66986442148791	"2011-08-01"	4
"39"	-4.03326572093081	5.32755872704412	"2012-08-18"	NA
"40"	-4.01884001657164	5.33402422986835	"2012-10-15"	0
"41"	-4.02777986622213	5.33696528329424	"2012-12-21"	9
"42"	-4.06752186012272	5.33684392608813	"2013-04-08"	0
"43"	-4.02679740969829	5.3455430007522	"2013-11-14"	1
"44"	6.24214791457354	7.5539956544062	"2013-01-19"	2
"45"	30.8364391815258	27.931943115577	"2013-09-30"	0
"46"	49.662454157785	25.9299451812486	"2006-02-24"	4
"47"	6.10682805857708	5.78232718539794	"2013-01-01"	3
"48"	-73.1910491485335	8.00516092692502	"2002-02-09"	0
"49"	-73.2056306886952	8.00237757954281	"2004-03-17"	3
"50"	47.9846014385572	30.4530506880907	"2008-08-18"	2
"51"	47.9919317484641	30.4557310613384	"2007-06-04"	1
"52"	47.9906217366731	30.4443300210498	"2007-06-04"	1
"53"	47.9752581516042	30.4587814779626	"2007-06-04"	1
"54"	47.9743711492227	30.4541419432592	"2007-06-04"	1
"55"	47.9794201773785	30.4546014947899	"2013-03-21"	1
"56"	47.983026613844	30.4464712296752	"2013-05-12"	1
"57"	35.2635675961425	31.7652709303005	"2013-11-07"	1
"58"	44.8172861069581	34.0428649479803	"2012-04-26"	11
"59"	44.3412705802857	32.5306784312994	"2009-08-05"	0
"60"	44.0746169109774	33.2943468493557	"2003-07-16"	1
"61"	44.0677860605523	33.2925870140696	"2004-04-09"	8
"62"	44.0573109097631	33.285849939851	"2004-04-20"	22
"63"	44.0633332156429	33.2912024100226	"2004-09-12"	1
"64"	44.0575260468564	33.2878628773716	"2004-09-30"	4
"65"	44.0701677749903	33.2874233536104	"2005-03-25"	0
"66"	44.0686241194831	33.2996622725118	"2005-04-02"	0
"67"	44.0646919180212	33.2991782784237	"2005-04-04"	1
"68"	44.065206680027	33.2966853597582	"2005-04-23"	10
"69"	44.0597651632029	33.2950070068248	"2005-07-26"	20
"70"	44.0668426488751	33.2984518307455	"2005-09-17"	7
"71"	44.0593176976118	33.2896658169021	"2006-05-19"	0
"72"	44.0648079993614	33.2952832250165	"2007-05-06"	14
"73"	44.0636262975066	33.2904453877135	"2007-06-07"	3
"74"	44.0617391137491	33.2955939700649	"2008-03-18"	NA
"75"	44.0643095448931	33.2946386792705	"2008-05-14"	31
"76"	44.0598310566406	33.2885497975451	"2008-07-09"	6
"77"	44.0705135183168	33.2962512648207	"2008-07-09"	6
"78"	44.073750973073	33.2953498669163	"2008-10-27"	1
"79"	44.0617524635598	33.2957669522482	"2009-02-19"	3
"80"	44.0646811288913	33.2896779687478	"2009-03-10"	34
"81"	44.0653011806581	33.2875251234517	"2009-04-04"	0
"82"	44.0623656528389	33.2835367123092	"2009-05-13"	2
"83"	44.0638055828858	33.3001008976492	"2009-06-22"	8
"84"	44.0625292257305	33.2998625611103	"2009-07-14"	0
"85"	44.0564739082001	33.3014266172525	"2009-07-19"	0
"86"	44.0559726703671	33.2878921140785	"2009-08-24"	1
"87"	44.0593333693027	33.2984333174358	"2009-09-23"	0
"88"	44.0673174314752	33.285560359476	"2009-10-23"	1
"89"	44.0638990424007	33.2903407177849	"2009-11-04"	3
"90"	44.0648926049556	33.2896685064266	"2009-11-07"	1
"91"	44.0666664515893	33.2894435297007	"2009-11-16"	6
"92"	44.0579173018869	33.298335562894	"2009-11-16"	7
"93"	44.0657565048702	33.2844795364662	"2009-12-23"	0
"94"	44.0705207590332	33.3014650715616	"2010-01-13"	1
"95"	44.0671322001043	33.2985112648093	"2010-02-04"	0
"96"	44.0718734330117	33.2947729543418	"2010-04-15"	0
"97"	44.0737239106737	33.2934821270507	"2010-06-07"	3
"98"	44.0753109374728	33.2990984728847	"2010-06-29"	0
"99"	44.0723687933424	33.2819937305393	"2010-07-07"	1
"100"	44.0627813387794	33.3004121079583	"2010-07-07"	1
